00NAMA,Aberffraw
"11UBGY","Buckingham South"
"11UBGZ","Cheddington"
"11UBHA","Coldharbour"
"11UBHB","Edlesborough"
"11UBHC","Elmhurst and Watermead"
"11UBHD","Gatehouse"
"11UBHE","Great Brickhill"
"11UBHF","Great Horwood"
"11UBHG","Grendon Underwood"
"11UBHH","Haddenham"
"11UBHJ","Long Crendon"
"11UBHK","Luffield Abbey"
"11UBHL","Mandeville and Elm Farm"
"11UBHM","Marsh Gibbon"
"11UBHN","Newton Longville"
"11UBHP","Oakfield"
"11UBHQ","Pitstone"
"11UBHR","Quainton"
"11UBHS","Quarrendon"
"11UBHT","Southcourt"
"11UBHU","Steeple Claydon"
"11UBHW","Stewkley"
"11UBHX","Tingewick"
"11UBHY","Waddesdon"
"11UBHZ","Walton Court and Hawkslade"
"11UBJA","Weedon"
"11UBJB","Wendover"
"11UBJC","Wing"
"11UBJD","Wingrave"
"11UBJE","Winslow"
"11UCGH","Amersham Common"
"11UCGJ","Amersham-on-the-Hill"
"11UCGK","Amersham Town"
"11UCGL","Asheridge Vale and Lowndes"
"11UCGM","Ashley Green, Latimer and Chenies"
"11UCGN","Austenwood"
"11UCGP","Ballinger, South Heath and Chartridge"
"11UCGQ","Central"
"11UCGR","Chalfont Common"
"11UCGS","Chalfont St Giles"
"11UCGT","Chesham Bois and Weedon Hill"
"11UCGU","Cholesbury, The Lee and Bellingdon"
"11UCGW","Gold Hill"
"11UCGX","Great Missenden"
"11UCGY","Hilltop and Townsend"
"11UCGZ","Holmer Green"
"11UCHA","Little Chalfont"
"11UCHB","Little Missenden"
"11UCHC","Newtown"
"11UCHD","Penn and Coleshill"
"11UCHE","Prestwood and Heath End"
"11UCHF","Ridgeway"
"11UCHG","St Mary's and Waterside"
"11UCHH","Seer Green"
"11UCHJ","Vale"
"11UEFX","Beaconsfield North"
"11UEFY","Beaconsfield South"
"11UEFZ","Beaconsfield West"
"11UEGA","Burnham Beeches"
"11UEGB","Burnham Church"
"11UEGC","Burnham Lent Rise"
"11UEGD","Denham North"
"11UEGE","Denham South"
"11UEGF","Dorney and Burnham South"
"11UEGG","Farnham Royal"
"11UEGH","Gerrards Cross East and Denham South West"
"11UEGJ","Gerrards Cross North"
"11UEGK","Gerrards Cross South"
"11UEGL","Hedgerley and Fulmer"
"11UEGM","Iver Heath"
"11UEGN","Iver Village and Richings Park"
"11UEGP","Stoke Poges"
"11UEGQ","Taplow"
"11UEGR","Wexham and Iver West"
"11UFGK","Abbey"
"11UFGL","Bledlow and Bradenham"
"11UFGM","Booker and Cressex"
"11UFGN","Bourne End-cum-Hedsor"
"11UFGP","Bowerdean"
"11UFGQ","Chiltern Rise"
"11UFGR","Disraeli"
"11UFGS","Downley and Plomer Hill"
"11UFGT","Flackwell Heath and Little Marlow"
"11UFGU","Greater Hughenden"
"11UFGW","Greater Marlow"
"11UFGX","Hambleden Valley"
"11UFGY","Hazlemere North"
"11UFGZ","Hazlemere South"
"11UFHA","Icknield"
"11UFHB","Lacey Green, Speen and the Hampdens"
"11UFHC","Marlow North and West"
"11UFHD","Marlow South East"
"11UFHE","Micklefield"
"11UFHF","Oakridge and Castlefield"
"11UFHG","Ryemead"
"11UFHH","Sands"
"11UFHJ","Stokenchurch and Radnage"
"11UFHK","Terriers and Amersham Hill"
"11UFHL","Totteridge"
"11UFHM","The Risboroughs"
"11UFHN","The Wooburns"
"11UFHP","Tylers Green and Loudwater"
"12UBFQ","Abbey"
"12UBFR","Arbury"
"12UBFS","Castle"
"12UBFT","Cherry Hinton"
"12UBFU","Coleridge"
"12UBFW","East Chesterton"
"12UBFX","King's Hedges"
"12UBFY","Market"
"12UBFZ","Newnham"
"12UBGA","Petersfield"
"12UBGB","Queen Edith's"
"12UBGC","Romsey"
"12UBGD","Trumpington"
"12UBGE","West Chesterton"
"12UCFU","Bottisham"
"12UCFW","Burwell"
"12UCFX","Cheveley"
"12UCFY","Downham Villages"
"12UCFZ","Dullingham Villages"
"12UCGA","Ely East"
"12UCGB","Ely North"
"12UCGC","Ely South"
"12UCGD","Ely West"
"12UCGE","Fordham Villages"
"12UCGF","Haddenham"
"12UCGG","Isleham"
"12UCGH","Littleport East"
"12UCGJ","Littleport West"
"12UCGK","Soham North"
"12UCGL","Soham South"
"12UCGM","Stretham"
"12UCGN","Sutton"
"12UCGP","The Swaffhams"
"12UDGC","Bassenhally"
"12UDGD","Benwick, Coates and Eastrea"
"12UDGE","Birch"
"12UDGF","Clarkson"
"12UDGG","Delph"
"12UDGH","Doddington"
"12UDGJ","Elm and Christchurch"
"12UDGK","Hill"
"12UDGL","Kingsmoor"
"12UDGM","Kirkgate"
"12UDGN","Lattersey"
"12UDGP","Manea"
"12UDGQ","March East"
"12UDGR","March North"
"12UDGS","March West"
"12UDGT","Medworth"
"12UDGU","Parson Drove and Wisbech St Mary"
"12UDGW","Peckover"
"12UDGX","Roman Bank"
"12UDGY","St Andrews"
"12UDGZ","St Marys"
"12UDHA","Slade Lode"
"12UDHB","Staithe"
"12UDHC","The Mills"
"12UDHD","Waterlees"
"12UDHE","Wenneye"
"12UDHF","Wimblington"
"12UEGM","Alconbury and The Stukeleys"
"12UEGN","Brampton"
"12UEGP","Buckden"
"12UEGQ","Earith"
"12UEGR","Ellington"
"12UEGS","Elton and Folksworth"
"12UEGT","Fenstanton"
"12UEGU","Godmanchester"
"12UEGW","Gransden and The Offords"
"12UEGX","Huntingdon East"
"12UEGY","Huntingdon North"
"12UEGZ","Huntingdon West"
"12UEHA","Kimbolton and Staughton"
"12UEHB","Little Paxton"
"12UEHC","Ramsey"
"12UEHD","St Ives East"
"12UEHE","St Ives South"
"12UEHF","St Ives West"
"12UEHG","St Neots Eaton Ford"
"12UEHH","St Neots Eaton Socon"
"12UEHJ","St Neots Eynesbury"
"12UEHK","St Neots Priory Park"
"12UEHL","Sawtry"
"12UEHM","Somersham"
"12UEHN","Stilton"
"12UEHP","The Hemingfords"
"12UEHQ","Upwood and The Raveleys"
"12UEHR","Warboys and Bury"
"12UEHS","Yaxley and Farcet"
"12UGGW","Balsham"
"12UGGX","Bar Hill"
"12UGGY","Barton"
"12UGGZ","Bassingbourn"
"12UGHB","Caldecote"
"12UGHC","Comberton"
"12UGHD","Cottenham"
"12UGHE","Duxford"
"12UGHF","Fowlmere and Foxton"
"12UGHG","Fulbourn"
"12UGHH","Gamlingay"
"12UGHJ","Girton"
"12UGHK","Hardwick"
"12UGHL","Harston and Hauxton"
"12UGHM","Haslingfield and The Eversdens"
"12UGHN","Histon and Impington"
"12UGHP","Linton"
"12UGHQ","Longstanton"
"12UGHR","Melbourn"
"12UGHS","Meldreth"
"12UGHT","Milton"
"12UGHU","Orwell and Barrington"
"12UGHX","Sawston"
"12UGHY","Swavesey"
"12UGHZ","Teversham"
"12UGJA","The Abingtons"
"12UGJB","The Mordens"
"12UGJC","The Shelfords and Stapleford"
"12UGJD","The Wilbrahams"
"12UGJE","Waterbeach"
"12UGJF","Whittlesford"
"12UGJG","Willingham and Over"
"12UGJH","Bourn"
"12UGJJ","Papworth and Elsworth"
"16UBGM","All Saints"
"16UBGN","Aspatria"
"16UBGP","Boltons"
"16UBGQ","Broughton St Bridget's"
"16UBGR","Christchurch"
"16UBGS","Clifton"
"16UBGT","Crummock"
"16UBGU","Dalton"
"16UBGW","Derwent Valley"
"16UBGX","Ellen"
"16UBGY","Ellenborough"
"16UBGZ","Ewanrigg"
"16UBHA","Flimby"
"16UBHB","Harrington"
"16UBHC","Holme"
"16UBHD","Keswick"
"16UBHE","Marsh"
"16UBHF","Moorclose"
"16UBHG","Moss Bay"
"16UBHH","Netherhall"
"16UBHJ","St John's"
"16UBHK","St Michael's"
"16UBHL","Seaton"
"16UBHM","Silloth"
"16UBHN","Solway"
"16UBHP","Stainburn"
"16UBHQ","Wampool"
"16UBHR","Warnell"
"16UBHS","Waver"
"16UBHT","Wharrels"
"16UBHU","Wigton"
"16UCGD","Barrow Island"
"16UCGE","Central"
"16UCGF","Dalton North"
"16UCGG","Dalton South"
"16UCGH","Hawcoat"
"16UCGJ","Hindpool"
"16UCGK","Newbarns"
"16UCGL","Ormsgill"
"16UCGM","Parkside"
"16UCGN","Risedale"
"16UCGP","Roosecote"
"16UCGQ","Walney North"
"16UCGR","Walney South"
"16UDGA","Belah"
"16UDGB","Belle Vue"
"16UDGC","Botcherby"
"16UDGD","Brampton"
"16UDGE","Burgh"
"16UDGF","Castle"
"16UDGG","Currock"
"16UDGH","Dalston"
"16UDGJ","Denton Holme"
"16UDGK","Great Corby and Geltsdale"
"16UDGL","Harraby"
"16UDGM","Hayton"
"16UDGN","Irthing"
"16UDGP","Longtown & Rockcliffe"
"16UDGQ","Lyne"
"16UDGR","Morton"
"16UDGS","St Aidans"
"16UDGT","Stanwix Rural"
"16UDGU","Stanwix Urban"
"16UDGW","Upperby"
"16UDGX","Wetheral"
"16UDGY","Yewdale"
"16UEGD","Arlecdon"
"16UEGE","Beckermet"
"16UEGF","Bootle"
"16UEGG","Bransty"
"16UEGH","Cleator Moor North"
"16UEGJ","Cleator Moor South"
"16UEGK","Distington"
"16UEGL","Egremont North"
"16UEGM","Egremont South"
"16UEGN","Ennerdale"
"16UEGP","Frizington"
"16UEGQ","Gosforth"
"16UEGR","Harbour"
"16UEGS","Haverigg"
"16UEGT","Hensingham"
"16UEGU","Hillcrest"
"16UEGW","Holborn Hill"
"16UEGX","Kells"
"16UEGY","Millom Without"
"16UEGZ","Mirehouse"
"16UEHA","Moresby"
"16UEHB","Newtown"
"16UEHC","St Bees"
"16UEHD","Sandwith"
"16UEHE","Seascale"
"16UFGF","Alston Moor"
"16UFGG","Appleby (Appleby)"
"16UFGH","Appleby (Bongate)"
"16UFGJ","Askham"
"16UFGK","Brough"
"16UFGL","Crosby Ravensworth"
"16UFGM","Dacre"
"16UFGN","Eamont"
"16UFGP","Greystoke"
"16UFGQ","Hartside"
"16UFGR","Hesket"
"16UFGS","Kirkby Stephen"
"16UFGT","Kirkby Thore"
"16UFGU","Kirkoswald"
"16UFGW","Langwathby"
"16UFGX","Lazonby"
"16UFGY","Long Marton"
"16UFGZ","Morland"
"16UFHA","Orton with Tebay"
"16UFHB","Penrith Carleton"
"16UFHC","Penrith East"
"16UFHD","Penrith North"
"16UFHE","Penrith Pategill"
"16UFHF","Penrith South"
"16UFHG","Penrith West"
"16UFHH","Ravenstonedale"
"16UFHJ","Shap"
"16UFHK","Skelton"
"16UFHL","Ullswater"
"16UFHM","Warcop"
"16UGKC","Ambleside and Grasmere"
"16UGKD","Arnside and Beetham"
"16UGKE","Broughton"
"16UGKF","Burneside"
"16UGKG","Burton and Holme"
"16UGKH","Cartmel and Grange West"
"16UGKJ","Coniston and Crake Valley"
"16UGKK","Crooklands"
"16UGKL","Grange North"
"16UGKM","Grange South"
"16UGKN","Hawkshead"
"16UGKP","Holker"
"16UGKQ","Kendal Castle"
"16UGKR","Kendal Far Cross"
"16UGKS","Kendal Fell"
"16UGKT","Kendal Heron Hill"
"16UGKU","Kendal Highgate"
"16UGKW","Kendal Kirkland"
"16UGKX","Kendal Mintsfeet"
"16UGKY","Kendal Nether"
"16UGKZ","Kendal Oxenholme and Natland"
"16UGLA","Kendal Parks"
"16UGLB","Kendal Romney"
"16UGLC","Kendal Stonecross"
"16UGLD","Kendal Strickland"
"16UGLE","Kendal Underley"
"16UGLF","Levens"
"16UGLG","Low Furness"
"16UGLH","Lyth Valley"
"16UGLJ","Mid Furness"
"16UGLK","Milnthorpe"
"16UGLL","Sedbergh and Kirkby Lonsdale"
"16UGLM","Staveley-in-Cartmel"
"16UGLN","Staveley-in-Westmorland"
"16UGLP","Ulverston Central"
"16UGLQ","Ulverston East"
"16UGLR","Ulverston North"
"16UGLS","Ulverston South"
"16UGLT","Ulverston Town"
"16UGLU","Ulverston West"
"16UGLW","Whinfell"
"16UGLX","Windermere Applethwaite and Troutbeck"
"16UGLY","Windermere Bowness North"
"16UGLZ","Windermere Bowness South"
"16UGMA","Windermere Town"
"17UBGC","Alfreton"
"17UBGD","Alport"
"17UBGE","Belper Central"
"17UBGF","Belper East"
"17UBGG","Belper North"
"17UBGH","Belper South"
"17UBGJ","Codnor and Waingroves"
"17UBGK","Crich"
"17UBGL","Duffield"
"17UBGM","Heage and Ambergate"
"17UBGN","Heanor and Loscoe"
"17UBGP","Heanor East"
"17UBGQ","Heanor West"
"17UBGR","Ironville and Riddings"
"17UBGS","Kilburn, Denby and Holbrook"
"17UBGT","Langley Mill and Aldercar"
"17UBGU","Ripley"
"17UBGW","Ripley and Marehay"
"17UBGX","Shipley Park, Horsley and Horsley Woodhouse"
"17UBGY","Somercotes"
"17UBGZ","South West Parishes"
"17UBHA","Swanwick"
"17UBHB","Wingfield"
"17UCGB","Barlborough"
"17UCGC","Blackwell"
"17UCGD","Bolsover North West"
"17UCGE","Bolsover South"
"17UCGF","Bolsover West"
"17UCGG","Clowne North"
"17UCGH","Clowne South"
"17UCGJ","Elmton-with-Creswell"
"17UCGK","Pinxton"
"17UCGL","Pleasley"
"17UCGM","Scarcliffe"
"17UCGN","Shirebrook East"
"17UCGP","Shirebrook Langwith"
"17UCGQ","Shirebrook North West"
"17UCGR","Shirebrook South East"
"17UCGS","Shirebrook South West"
"17UCGT","South Normanton East"
"17UCGU","South Normanton West"
"17UCGW","Tibshelf"
"17UCGX","Whitwell"
"17UDFX","Barrow Hill and New Whittington"
"17UDFY","Brimington North"
"17UDFZ","Brimington South"
"17UDGA","Brockwell"
"17UDGB","Dunston"
"17UDGC","Hasland"
"17UDGD","Hollingwood and Inkersall"
"17UDGE","Holmebrook"
"17UDGF","Linacre"
"17UDGG","Loundsley Green"
"17UDGH","Lowgates and Woodthorpe"
"17UDGJ","Middlecroft and Poolsbrook"
"17UDGK","Moor"
"17UDGL","Old Whittington"
"17UDGM","Rother"
"17UDGN","St Helen's"
"17UDGP","St Leonard's"
"17UDGQ","Walton"
"17UDGR","West"
"17UFGC","Ashbourne North"
"17UFGD","Ashbourne South"
"17UFGE","Bakewell"
"17UFGF","Bradwell"
"17UFGG","Brailsford"
"17UFGH","Calver"
"17UFGJ","Carsington Water"
"17UFGK","Chatsworth"
"17UFGL","Clifton and Bradley"
"17UFGM","Darley Dale"
"17UFGN","Dovedale and Parwich"
"17UFGP","Doveridge and Sudbury"
"17UFGQ","Hartington and Taddington"
"17UFGR","Hathersage and Eyam"
"17UFGS","Hulland"
"17UFGT","Lathkill and Bradford"
"17UFGU","Litton and Longstone"
"17UFGW","Masson"
"17UFGX","Matlock All Saints"
"17UFGY","Matlock St Giles"
"17UFGZ","Norbury"
"17UFHA","Stanton"
"17UFHB","Tideswell"
"17UFHC","Winster and South Darley"
"17UFHD","Wirksworth"
"17UGGC","Abbotsford"
"17UGGD","Breaston"
"17UGGE","Cotmanhay"
"17UGGF","Derby Road East"
"17UGGG","Derby Road West"
"17UGGH","Draycott"
"17UGGJ","Hallam Fields"
"17UGGK","Ilkeston Central"
"17UGGL","Ilkeston North"
"17UGGM","Kirk Hallam"
"17UGGN","Little Eaton and Breadsall"
"17UGGP","Little Hallam"
"17UGGQ","Long Eaton Central"
"17UGGR","Nottingham Road"
"17UGGS","Ockbrook And Borrowash"
"17UGGT","Old Park"
"17UGGU","Sandiacre North"
"17UGGW","Sandiacre South"
"17UGGX","Sawley"
"17UGGY","Stanley"
"17UGGZ","West Hallam and Dale Abbey"
"17UGHA","Wilsthorpe"
"17UHGC","Barms"
"17UHGD","Blackbrook"
"17UHGE","Burbage"
"17UHGF","Buxton Central"
"17UHGG","Chapel East"
"17UHGH","Chapel West"
"17UHGJ","Corbar"
"17UHGK","Cote Heath"
"17UHGL","Dinting"
"17UHGM","Gamesley"
"17UHGN","Hadfield North"
"17UHGP","Hadfield South"
"17UHGQ","Hayfield"
"17UHGR","Hope Valley"
"17UHGS","Howard Town"
"17UHGT","Limestone Peak"
"17UHGU","New Mills East"
"17UHGW","New Mills West"
"17UHGX","Old Glossop"
"17UHGY","Padfield"
"17UHGZ","St John's"
"17UHHA","Sett"
"17UHHB","Simmondley"
"17UHHC","Stone Bench"
"17UHHD","Temple"
"17UHHE","Tintwistle"
"17UHHF","Whaley Bridge"
"17UHHG","Whitfield"
"17UJGD","Ashover"
"17UJGE","Barlow and Holmesfield"
"17UJGF","Brampton and Walton"
"17UJGG","Clay Cross North"
"17UJGH","Clay Cross South"
"17UJGJ","Coal Aston"
"17UJGK","Dronfield North"
"17UJGL","Dronfield South"
"17UJGM","Dronfield Woodhouse"
"17UJGN","Eckington North"
"17UJGP","Eckington South"
"17UJGQ","Gosforth Valley"
"17UJGR","Grassmoor"
"17UJGS","Holmewood and Heath"
"17UJGT","Killamarsh East"
"17UJGU","Killamarsh West"
"17UJGW","North Wingfield Central"
"17UJGX","Pilsley and Morton"
"17UJGY","Renishaw"
"17UJGZ","Ridgeway and Marsh Lane"
"17UJHA","Shirland"
"17UJHB","Sutton"
"17UJHC","Tupton"
"17UJHD","Unstone"
"17UJHE","Wingerworth"
"17UKFW","Aston"
"17UKFX","Church Gresley"
"17UKFY","Etwall"
"17UKFZ","Hartshorne and Ticknall"
"17UKGA","Hatton"
"17UKGB","Hilton"
"17UKGC","Linton"
"17UKGD","Melbourne"
"17UKGE","Midway"
"17UKGF","Newhall and Stanton"
"17UKGG","North West"
"17UKGH","Repton"
"17UKGJ","Seales"
"17UKGK","Stenson"
"17UKGL","Swadlincote"
"17UKGM","Willington and Findern"
"17UKGN","Woodville"
"18UBGN","Axminster Rural"
"18UBGP","Axminster Town"
"18UBGQ","Beer and Branscombe"
"18UBGR","Broadclyst"
"18UBGS","Budleigh"
"18UBGT","Clyst Valley"
"18UBGU","Coly Valley"
"18UBGW","Dunkeswell"
"18UBGX","Exe Valley"
"18UBGY","Exmouth Brixington"
"18UBGZ","Exmouth Halsdon"
"18UBHA","Exmouth Littleham"
"18UBHB","Exmouth Town"
"18UBHC","Exmouth Withycombe Raleigh"
"18UBHD","Feniton and Buckerell"
"18UBHE","Honiton St Michael's"
"18UBHF","Honiton St Paul's"
"18UBHG","Newbridges"
"18UBHH","Newton Poppleford and Harpford"
"18UBHJ","Otterhead"
"18UBHK","Ottery St Mary Rural"
"18UBHL","Ottery St Mary Town"
"18UBHM","Raleigh"
"18UBHN","Seaton"
"18UBHP","Sidmouth Rural"
"18UBHQ","Sidmouth Sidford"
"18UBHR","Sidmouth Town"
"18UBHS","Tale Vale"
"18UBHT","Trinity"
"18UBHU","Whimple"
"18UBHW","Woodbury and Lympstone"
"18UBHX","Yarty"
"18UCFU","Alphington"
"18UCFW","Cowick"
"18UCFX","Duryard"
"18UCFY","Exwick"
"18UCFZ","Heavitree"
"18UCGA","Mincinglake"
"18UCGB","Newtown"
"18UCGC","Pennsylvania"
"18UCGD","Pinhoe"
"18UCGE","Polsloe"
"18UCGF","Priory"
"18UCGG","St David's"
"18UCGH","St James"
"18UCGJ","St Leonard's"
"18UCGK","St Loyes"
"18UCGL","St Thomas"
"18UCGM","Topsham"
"18UCGN","Whipton & Barton"
"18UDGF","Boniface"
"18UDGG","Bradninch"
"18UDGH","Cadbury"
"18UDGJ","Canonsleigh"
"18UDGK","Castle"
"18UDGL","Clare and Shuttern"
"18UDGM","Cranmore"
"18UDGN","Cullompton North"
"18UDGP","Cullompton Outer"
"18UDGQ","Cullompton South"
"18UDGR","Halberton"
"18UDGS","Lawrence"
"18UDGT","Lower Culm"
"18UDGU","Lowman"
"18UDGW","Newbrooke"
"18UDGX","Sandford and Creedy"
"18UDGY","Silverton"
"18UDGZ","Taw"
"18UDHA","Taw Vale"
"18UDHB","Upper Culm"
"18UDHC","Upper Yeo"
"18UDHD","Way"
"18UDHE","Westexe"
"18UDHF","Yeo"
"18UEGH","Bickington and Roundswell"
"18UEGJ","Bishop's Nympton"
"18UEGK","Bratton Fleming"
"18UEGL","Braunton East"
"18UEGM","Braunton West"
"18UEGN","Central Town"
"18UEGP","Chittlehampton"
"18UEGQ","Chulmleigh"
"18UEGR","Combe Martin"
"18UEGS","Forches and Whiddon Valley"
"18UEGT","Fremington"
"18UEGU","Georgeham and Mortehoe"
"18UEGW","Heanton Punchardon"
"18UEGX","Ilfracombe Central"
"18UEGY","Ilfracombe East"
"18UEGZ","Ilfracombe West"
"18UEHA","Instow"
"18UEHB","Landkey, Swimbridge and Taw"
"18UEHC","Longbridge"
"18UEHD","Lynton and Lynmouth"
"18UEHE","Marwood"
"18UEHF","Newport"
"18UEHG","North Molton"
"18UEHH","Pilton"
"18UEHJ","South Molton"
"18UEHK","Witheridge"
"18UEHL","Yeo Valley"
"18UGGM","Allington and Loddiswell"
"18UGGN","Avon and Harbourne"
"18UGGP","Bickleigh and Shaugh"
"18UGGQ","Charterlands"
"18UGGR","Cornwood and Sparkwell"
"18UGGS","Dartington"
"18UGGT","Dartmouth and Kingswear"
"18UGGU","Dartmouth Townstal"
"18UGGW","East Dart"
"18UGGX","Eastmoor"
"18UGGY","Erme Valley"
"18UGGZ","Ivybridge Central"
"18UGHA","Ivybridge Filham"
"18UGHB","Ivybridge Woodlands"
"18UGHC","Kingsbridge East"
"18UGHD","Kingsbridge North"
"18UGHE","Marldon"
"18UGHF","Newton and Noss"
"18UGHG","Salcombe and Malborough"
"18UGHH","Saltstone"
"18UGHJ","Skerries"
"18UGHK","South Brent"
"18UGHL","Stokenham"
"18UGHM","Thurlestone"
"18UGHN","Totnes Bridgetown"
"18UGHP","Totnes Town"
"18UGHQ","Wembury and Brixton"
"18UGHR","West Dart"
"18UGHS","Westville and Alvington"
"18UGHT","Yealmpton"
"18UHGL","Ambrook"
"18UHGM","Ashburton and Buckfastleigh"
"18UHGN","Bishopsteignton"
"18UHGP","Bovey"
"18UHGQ","Bradley"
"18UHGR","Buckland and Milber"
"18UHGS","Bushell"
"18UHGT","Chudleigh"
"18UHGU","College"
"18UHGW","Dawlish Central and North East"
"18UHGX","Dawlish South West"
"18UHGY","Haytor"
"18UHGZ","Ipplepen"
"18UHHA","Kenn Valley"
"18UHHB","Kenton with Starcross"
"18UHHC","Kerswell-with-Combe"
"18UHHD","Kingsteignton East"
"18UHHE","Kingsteignton West"
"18UHHF","Moorland"
"18UHHG","Shaldon and Stokeinteignhead"
"18UHHH","Teignbridge North"
"18UHHJ","Teignmouth Central"
"18UHHK","Teignmouth East"
"18UHHL","Teignmouth West"
"18UHHM","Teign Valley"
"18UKGE","Appledore"
"18UKGF","Bideford East"
"18UKGG","Bideford North"
"18UKGH","Bideford South"
"18UKGJ","Broadheath"
"18UKGK","Clinton"
"18UKGL","Clovelly Bay"
"18UKGM","Coham Bridge"
"18UKGN","Forest"
"18UKGP","Hartland and Bradworthy"
"18UKGQ","Holsworthy"
"18UKGR","Kenwith"
"18UKGS","Monkleigh and Littleham"
"18UKGT","Northam"
"18UKGU","Orchard Hill"
"18UKGW","Shebbear and Langtree"
"18UKGX","Tamarside"
"18UKGY","Three Moors"
"18UKGZ","Torrington"
"18UKHA","Two Rivers"
"18UKHB","Waldon"
"18UKHC","Westward Ho!"
"18UKHD","Winkleigh"
"18ULFY","Bere Ferrers"
"18ULFZ","Bridestowe"
"18ULGA","Buckland Monachorum"
"18ULGB","Burrator"
"18ULGC","Chagford"
"18ULGD","Drewsteignton"
"18ULGE","Exbourne"
"18ULGF","Hatherleigh"
"18ULGG","Lew Valley"
"18ULGH","Lydford"
"18ULGJ","Mary Tavy"
"18ULGK","Milton Ford"
"18ULGL","North Tawton"
"18ULGM","Okehampton East"
"18ULGN","Okehampton West"
"18ULGP","Tamarside"
"18ULGQ","Tavistock North"
"18ULGR","Tavistock South"
"18ULGS","Tavistock South West"
"18ULGT","South Tawton"
"18ULGU","Thrushel"
"18ULGW","Walkham"
"19UCFL","Burton and Winkton"
"19UCFM","Grange"
"19UCFN","Highcliffe"
"19UCFP","Jumpers"
"19UCFQ","Mudeford and Friars Cliff"
"19UCFR","North Highcliffe and Walkford"
"19UCFS","Portfield"
"19UCFT","Purewell and Stanpit"
"19UCFU","St Catherine's and Hurn"
"19UCFW","Town Centre"
"19UCFX","West Highcliffe"
"19UDGA","Alderholt"
"19UDGB","Ameysford"
"19UDGC","Colehill East"
"19UDGD","Colehill West"
"19UDGE","Corfe Mullen Central"
"19UDGF","Corfe Mullen North"
"19UDGG","Corfe Mullen South"
"19UDGH","Crane"
"19UDGJ","Ferndown Central"
"19UDGK","Ferndown Links"
"19UDGL","Handley Vale"
"19UDGM","Holt"
"19UDGN","Longham"
"19UDGP","Parley"
"19UDGQ","St Leonards and St Ives East"
"19UDGR","St Leonards and St Ives West"
"19UDGS","Stapehill"
"19UDGT","Stour"
"19UDGU","Three Cross and Potterne"
"19UDGW","Verwood Dewlands"
"19UDGX","Verwood Newtown"
"19UDGY","Verwood Stephen's Castle"
"19UDGZ","West Moors"
"19UDHA","Wimborne Minster"
"19UEGE","Abbey"
"19UEGF","Blackmore"
"19UEGG","Blandford Damory Down"
"19UEGH","Blandford Hilltop"
"19UEGJ","Blandford Langton St Leonards"
"19UEGK","Blandford Old Town"
"19UEGL","Blandford Station"
"19UEGM","Bourton and District"
"19UEGN","Bulbarrow"
"19UEGP","Cranborne Chase"
"19UEGQ","Gillingham Town"
"19UEGR","Hill Forts"
"19UEGS","Lodbourne"
"19UEGT","Lydden Vale"
"19UEGU","Marnhull"
"19UEGW","Milton"
"19UEGX","Motcombe and Ham"
"19UEGY","Portman"
"19UEGZ","Riversdale"
"19UEHA","Shaftesbury Central"
"19UEHB","Shaftesbury Christy's"
"19UEHC","Shaftesbury Grosvenor"
"19UEHD","Shaftesbury Underhill"
"19UEHE","Stour Valley"
"19UEHF","The Beacon"
"19UEHG","The Lower Tarrants"
"19UEHH","The Stours"
"19UEHJ","Wyke"
"19UGFN","Bere Regis"
"19UGFP","Castle"
"19UGFQ","Creech Barrow"
"19UGFR","Langton"
"19UGFS","Lytchett Matravers"
"19UGFT","Lytchett Minster and Upton East"
"19UGFU","Lytchett Minster and Upton West"
"19UGFW","St. Martin"
"19UGFX","Swanage North"
"19UGFY","Swanage South"
"19UGFZ","Wareham"
"19UGGA","West Purbeck"
"19UGGB","Winfrith"
"19UGGC","Wool"
"19UHGR","Beaminster"
"19UHGS","Bradford Abbas"
"19UHGT","Bradpole"
"19UHGU","Bridport North"
"19UHGW","Bridport South and Bothenhampton"
"19UHGX","Broadmayne"
"19UHGY","Broadwindsor"
"19UHGZ","Burton Bradstock"
"19UHHA","Cam Vale"
"19UHHB","Charminster and Cerne Valley"
"19UHHC","Charmouth"
"19UHHD","Chesil Bank"
"19UHHE","Chickerell"
"19UHHF","Chideock and Symondsbury"
"19UHHG","Dorchester East"
"19UHHH","Dorchester North"
"19UHHJ","Dorchester South"
"19UHHK","Dorchester West"
"19UHHL","Frome Valley"
"19UHHM","Halstock"
"19UHHN","Loders"
"19UHHP","Lyme Regis"
"19UHHQ","Maiden Newton"
"19UHHR","Marshwood Vale"
"19UHHS","Netherbury"
"19UHHT","Owermoigne"
"19UHHU","Piddle Valley"
"19UHHW","Puddletown"
"19UHHX","Queen Thorne"
"19UHHY","Sherborne East"
"19UHHZ","Sherborne West"
"19UHJA","Winterborne St Martin"
"19UHJB","Yetminster"
"19UJFQ","Littlemoor"
"19UJFR","Melcombe Regis"
"19UJFS","Preston"
"19UJFT","Radipole"
"19UJFU","Tophill East"
"19UJFW","Tophill West"
"19UJFX","Underhill"
"19UJFY","Upwey and Broadwey"
"19UJFZ","Westham East"
"19UJGA","Westham North"
"19UJGB","Westham West"
"19UJGC","Wey Valley"
"19UJGD","Weymouth East"
"19UJGE","Weymouth West"
"19UJGF","Wyke Regis"
"21UCFL","Devonshire"
"21UCFM","Hampden Park"
"21UCFN","Langney"
"21UCFP","Meads"
